WKT;BARRI
MULTIPOLYGON (((2.16471378584491 41.3859301985505,2.16935834444071 41.3855397138866,2.16996327720245 41.3856665354781,2.17195961505278 41.3826796309385,2.17543454024029 41.3787709367015,2.17600427408581 41.3778303446223,2.17751743012728 41.3760003286021,2.17738014741836 41.3753231384392,2.17847926668931 41.3747665345469,2.17797625180383 41.3741382960223,2.17827083620659 41.3740065120733,2.17812377599888 41.3738183933581,2.18300281538113 41.3715955607279,2.18209721563617 41.3703945837261,2.17728812306127 41.3725126796379,2.1770949365285 41.3727532767001,2.17547278436174 41.3733264519774,2.17562885160784 41.3735210546714,2.17545929191615 41.373930884173,2.17573812076173 41.3742919508506,2.17529771016087 41.374621376801,2.16779689387186 41.3749761614018,2.16778816251819 41.3751674055532,2.16308877056683 41.3787469936455,2.16401076694984 41.3853984958745,2.16471378584491 41.3859301985505)));1
MULTIPOLYGON (((2.17701418846324 41.3852483571591,2.18242000187041 41.3812973330248,2.18260849371955 41.3809315975439,2.18355048478743 41.3804535713819,2.18499292842925 41.3767465955036,2.18305748038472 41.3743389237888,2.18165331220763 41.3748880439638,2.18150562496885 41.3753547186981,2.1832536150935 41.3775500149162,2.18250955987866 41.3794595515321,2.18227780478489 41.379520651246,2.17847926668931 41.3747665345469,2.17810278297531 41.3749369978965,2.17738014741836 41.3753231384392,2.17751743012728 41.3760003286021,2.17600427408581 41.3778303446223,2.17543454024029 41.3787709367015,2.17195961505278 41.3826796309385,2.16996327720245 41.3856665354781,2.17151019108897 41.3870440812421,2.17276217534724 41.3884706000465,2.17701418846324 41.3852483571591)));2
MULTIPOLYGON (((2.19622882438499 41.3874542218292,2.19641967390901 41.3874657054012,2.19972219744978 41.3849874244403,2.19908338805431 41.3846377223357,2.19860405123652 41.3849973340276,2.19822994337113 41.3847030643075,2.19831519139068 41.384341015406,2.19819402458149 41.3844798598201,2.19722364423604 41.3842132448855,2.19655959256573 41.3838254841257,2.19593411736341 41.3831941914497,2.19556852249519 41.3825214222762,2.1954619894486 41.3817442278362,2.19731708005688 41.3811085883451,2.19702438672286 41.3809549134956,2.19568051417812 41.3815215329706,2.19535186805582 41.3809866742417,2.19664814607319 41.3805192027081,2.19682584422035 41.3805733470947,2.19692767748345 41.3802972835085,2.19663550551678 41.3802522330893,2.19653124161623 41.3804099016028,2.1949789894233 41.3809694010097,2.19450476052583 41.3807090344879,2.19341748768426 41.3795836830824,2.19287154438176 41.378403489566,2.19286847632861 41.3776360263751,2.19344238733854 41.376917934651,2.19276907952166 41.37684164842,2.19194997785619 41.3764549167664,2.19086274878236 41.3751914464237,2.18968588755878 41.3724104200583,2.18949139169273 41.3706891145085,2.18984613688274 41.3699284755855,2.19034748868666 41.3695153602581,2.19111197484935 41.3693948291662,2.1915698643266 41.3700372222106,2.19187740891624 41.3698570192877,2.1877591198048 41.3634711331485,2.18708732529409 41.3615397701458,2.18684875237217 41.3615885287153,2.18536060244984 41.3577341644955,2.18459876180052 41.3579028580583,2.18466155084985 41.3580598993653,2.18503677426918 41.3579775979183,2.18512221812075 41.3581452932154,2.18528074507184 41.3581126012609,2.18713355078937 41.3629630235813,2.18713296566023 41.3631273433324,2.18667984315463 41.3632171879302,2.18671208631975 41.3633336672789,2.18741434914608 41.3635753485622,2.18930119785283 41.3666975855637,2.18789577331382 41.3672306237103,2.18683960597302 41.3656730177034,2.18587075353819 41.3648847940417,2.18615485049197 41.3644074830404,2.18677799128027 41.3641787774502,2.18664856399194 41.3640452634801,2.18597300042922 41.3642246595365,2.18560786813386 41.3647494708367,2.18531283770525 41.3647508522325,2.18513169734879 41.3652961180498,2.18493594897499 41.3652562848361,2.18493432180298 41.3656309783185,2.18513331892091 41.3656871805373,2.18536378687419 41.3653584514418,2.18668079659362 41.3669123274801,2.18720181101035 41.3700069115476,2.18617360108437 41.3701256418704,2.18586053733953 41.3684478532739,2.18595353365188 41.3680272193182,2.185146885311 41.3681043435514,2.18519249328329 41.368481605197,2.18462434878575 41.3686054700161,2.18496430240349 41.3704160343191,2.18457878127673 41.3704755362102,2.18461222572176 41.3708452084557,2.18714291824609 41.3706437133642,2.18721365343466 41.3711026526918,2.18576759117226 41.3712090341095,2.18576928165013 41.3714944409552,2.18579195750797 41.3716168517262,2.18616428637014 41.3716539844579,2.18579653829405 41.3716925294516,2.18592035242957 41.3724047848074,2.18740320967224 41.3722783421791,2.18754554849455 41.37315626709,2.1868185965022 41.3732872811224,2.18709201436713 41.3737877440941,2.18680185501501 41.3735599830846,2.18748921366218 41.3745569906866,2.18666052863897 41.37481515714,2.18593429745796 41.3745318780627,2.18553244980072 41.372591063104,2.18489213170974 41.3726456907149,2.1842335312548 41.372950900935,2.1849323881739 41.3726739172444,2.18426417162629 41.3729869321127,2.18492982466304 41.3727892315932,2.18498723737385 41.3731348250702,2.18439219320378 41.3733592923647,2.18500354837755 41.3732325102303,2.18505796053368 41.3735809648074,2.18444665174357 41.3737631348815,2.18506632876215 41.3736376814723,2.18512861567958 41.374026878799,2.18446973881282 41.3741684124012,2.18513698161806 41.374082829798,2.18519788653044 41.3744755121963,2.18453524451081 41.37458400688,2.18520784669906 41.3745311682184,2.18527072022157 41.3749224548101,2.18472995996108 41.3750283410834,2.18530674483292 41.3749755165355,2.18692682474494 41.3756247806589,2.18688021572352 41.3759531596171,2.186601951863 41.3760499461691,2.18689469584086 41.3760096472907,2.18719737607696 41.3772267450039,2.18643647752341 41.3774108160054,2.18726355214607 41.3775986577691,2.18644607420091 41.3796492934772,2.18602910975676 41.3795546417767,2.18591700985683 41.3801099752416,2.18467093536759 41.3807036652403,2.18355048478743 41.3804535713819,2.18260849371955 41.3809315975439,2.18242000187041 41.3812973330248,2.18360004233013 41.3812769062692,2.18461837606729 41.3827358602606,2.18576159830035 41.3822067884357,2.19074603124494 41.3845284190712,2.19268340724327 41.3855922600894,2.19575454504945 41.3878524539404,2.19590639490014 41.3875708403904,2.19622882438499 41.3874542218292)));3
MULTIPOLYGON (((2.18345134700301 41.3906119699547,2.18458563576032 41.3897555316124,2.18676972469857 41.39139260185,2.19357272100577 41.3862395055196,2.19126255085067 41.38478593655,2.18576159830035 41.3822067884357,2.18461837606729 41.3827358602606,2.18360004233013 41.3812769062692,2.1825356863368 41.3812418669174,2.17276217534724 41.3884706000465,2.17340885305421 41.3889483722806,2.17585081686457 41.3889489719096,2.17749008435925 41.3901639165554,2.17985917989469 41.3910521956205,2.18132330009658 41.3922222306855,2.18345134700301 41.3906119699547)));4
MULTIPOLYGON (((2.18352725721331 41.3922683867538,2.1823809538848 41.3914201329726,2.18132330009658 41.3922222306855,2.18022911005337 41.3913478262092,2.17598560535843 41.3945507419565,2.17620187366611 41.3949260478124,2.17603063535684 41.3952530910105,2.17781196226576 41.3965935841061,2.17332454671017 41.399980873748,2.18517531733429 41.4029601502392,2.18689547376784 41.4016563545293,2.18686548933686 41.3949683714104,2.18666370661904 41.3948306229723,2.18673169464624 41.3946394526845,2.18352725721331 41.3922683867538)));5
MULTIPOLYGON (((2.17336777044387 41.3999911015451,2.16977803266453 41.4026723991532,2.1720429368886 41.4043694834745,2.16865930583113 41.4069289799092,2.17546779012673 41.4120364385019,2.18566931022075 41.4043058212446,2.18452702216252 41.4034515069343,2.18517531733429 41.4029601502392,2.17336777044387 41.3999911015451)));6
MULTIPOLYGON (((2.17090890025522 41.4018172697453,2.17781196226576 41.3965935841061,2.17603063535684 41.3952530910105,2.17620187366611 41.3949260478124,2.17598560535843 41.3945507419565,2.18022911005337 41.3913478262092,2.17985917989469 41.3910521956205,2.17749008435925 41.3901639165554,2.17585081686457 41.3889489719096,2.17340885305421 41.3889483722806,2.17276537527398 41.3884742458723,2.17028424788746 41.3858785606092,2.16976890640051 41.3855736862197,2.16471378584491 41.3859301985505,2.16416813603317 41.3863421220077,2.16539223595926 41.3872564179664,2.15471072428192 41.3953179332781,2.15922647403777 41.3964605573954,2.16621815438618 41.4017096773398,2.16735348814306 41.4008553411739,2.16977803266453 41.4026723991532,2.17090890025522 41.4018172697453)));7
MULTIPOLYGON (((2.15735531584764 41.3933062140278,2.16539223595926 41.3872564179664,2.15857178994263 41.3821391698247,2.14845929230745 41.3897696991634,2.1436493251586 41.3905005577231,2.14434446915422 41.3923840444791,2.14483524391113 41.3924582037653,2.14497835411813 41.3928550115965,2.15471072428192 41.3953179332781,2.15735531584764 41.3933062140278)));8
MULTIPOLYGON (((2.15178194532118 41.377033390166,2.14952857873292 41.3753370476438,2.14230283948269 41.3807175326146,2.14275104924324 41.3866034572562,2.1436493251586 41.3905005577231,2.14845929230745 41.3897696991634,2.15857178994263 41.3821391698247,2.15178194532118 41.377033390166)));9
MULTIPOLYGON (((2.16778816251819 41.3751674055532,2.16779689387186 41.3749761614018,2.15402511627522 41.3750026151877,2.14989886555104 41.3750744816272,2.14952857873292 41.3753370476438,2.16416813603317 41.3863421220077,2.16471378584491 41.3859301985505,2.16401076694984 41.3853984958745,2.16308877056683 41.3787469936455,2.16778816251819 41.3751674055532)));10
