PERIODO;CODIBARRIO;NOMBARRIO;NOMDISTR;INDICE
0:00:00;01; el Raval;Ciutat Vella;0.541
0:00:00;02; el Barri Gotic;Ciutat Vella;0.388
0:00:00;03; la Barceloneta;Ciutat Vella;0.541
0:00:00;04; Sant Pere, Santa Caterina i la Ribera;Ciutat Vella;0.452
0:00:00;05; el Fort Pienc;Eixample;0.448
0:00:00;06; la Sagrada Familia;Eixample;0.522
0:00:00;07; la Dreta de l'Eixample;Eixample;0.490
0:00:00;08; l'Antiga Esquerra de l'Eixample;Eixample;0.533
0:00:00;09; la Nova Esquerra de l'Eixample;Eixample;0.583
0:00:00;10; Sant Antoni;Eixample;0.480
0:00:00;11; el Poble Sec ;Sants;0.486
0:00:00;12; la Marina del Prat Vermell ;Sants;0.285
0:00:00;13; la Marina de Port;Sants;0.321
0:00:00;14; la Font de la Guatlla;Sants;0.371
0:00:00;15; Hostafrancs;Sants;0.394
0:00:00;16; la Bordeta;Sants;0.354
0:00:00;17; Sants - Badal;Sants;0.412
0:00:00;18; Sants;Sants;0.507
0:00:00;19; les Corts;Les Corts;0.490
0:00:00;20; la Maternitat i Sant Ramon;Les Corts;0.386
0:00:00;21; Pedralbes;Les Corts;0.405
0:00:00;22; Vallvidrera, el Tibidabo i les Planes;Sarria - Sant Gervasi;0.240
0:00:00;23; Sarria;Sarria - Sant Gervasi;0.469
0:00:00;24; les Tres Torres;Sarria - Sant Gervasi;0.463
0:00:00;25; Sant Gervasi - la Bonanova;Sarria - Sant Gervasi;0.404
0:00:00;26; Sant Gervasi - Galvany;Sarria - Sant Gervasi;0.523
0:00:00;27; el Putxet i el Farro;Sarria - Sant Gervasi;0.462
0:00:00;28; Vallcarca i els Penitents;Gracia;0.354
0:00:00;29; el Coll;Gracia;0.333
0:00:00;30; la Salut;Gracia;0.357
0:00:00;31; la Vila de Gracia;Gracia;0.663
0:00:00;32; el Camp d'en Grassot i Gracia Nova;Gracia;0.445
0:00:00;33; el Baix Guinardo;Horta-Guinardo;0.392
0:00:00;34; Can Baro;Horta-Guinardo;0.357
0:00:00;35; el Guinardo;Horta-Guinardo;0.420
0:00:00;36; la Font d'en Fargues;Horta-Guinardo;0.314
0:00:00;37; el Carmel;Horta-Guinardo;0.360
0:00:00;38; la Teixonera;Horta-Guinardo;0.307
0:00:00;39; Sant Genos dels Agudells;Horta-Guinardo;0.278
0:00:00;40; Montbau;Horta-Guinardo;0.310
0:00:00;41; la Vall d'Hebron;Horta-Guinardo;0.366
0:00:00;42; la Clota;Horta-Guinardo;0.484
0:00:00;43; Horta;Horta-Guinardo;0.349
0:00:00;44; Vilapicina i la Torre Llobeta;Nou Barris;0.363
0:00:00;45; Porta;Nou Barris;0.350
