DISTR;CODIBARRIO;NOMBARRIO;1_trim;2_trim;3_trim;4_trim
1;1; el Raval;792,74;820,88;849,32;827,27
1;2; el Barri GÃ_tic;998,4;1024,29;1012,49;1057,26
1;3; la Barceloneta;870,84;923,45;889,24;913,2
1;4; Sant Pere, Santa Caterina i la Ribera;923,44;991,39;970,97;1000,52
2;5; el Fort Pienc;910,53;942,96;968,85;983,1
2;6; la Sagrada FamÃ_lia;883,75;893,43;934,89;930,02
2;7; la Dreta de l'Eixample;1191,43;1263,08;1216,7;1340,38
2;8; l'Antiga Esquerra de l'Eixample;1069,16;1078,13;1136,21;1164,32
2;9; la Nova Esquerra de l'Eixample;947,92;975,53;1003,89;1017,56
2;10; Sant Antoni;899,98;907,42;970,26;960,3
3;11; el Poble Sec - AEI Parc MontjuÃ¯c;783,5;788,23;822,04;813,74
3;12; la Marina del Prat Vermell - AEI Zona Franca;nd;nd;nd;-
3;13; la Marina de Port;751,65;719,33;755,18;778,52
3;14; la Font de la Guatlla;842,32;834,68;871,41;810,24
3;15; Hostafrancs;754,83;801,37;814,55;811
3;16; la Bordeta;785,79;757,26;830,32;825,36
3;17; Sants - Badal;764,41;755,29;786,8;831,19
3;18; Sants;802,64;811,74;856,57;834,64
4;19; les Corts;1002,34;1038,73;1077,99;1031,46
4;20; la Maternitat i Sant Ramon;948,77;959,26;1013,28;960,03
4;21; Pedralbes;1799,91;1563,31;1849,52;1615,31
5;22; Vallvidrera, el Tibidabo i les Planes;895,7;860,13;1102,29;898,33
5;23; SarriÃ ;1249,23;1332,33;1443,71;1422,8
5;24; les Tres Torres;1613,41;1467,07;1746,01;1567,91
5;25; Sant Gervasi - la Bonanova;1247,7;1288,82;1322,61;1283,24
5;26; Sant Gervasi - Galvany;1310,42;1328,14;1374,32;1374,82
5;27; el Putxet i el FarrÃ_;946,65;972,89;1021,27;1031,54
6;28; Vallcarca i els Penitents;886,27;939,03;905,82;971,51
6;29; el Coll;741,23;716,25;756,36;748,9
6;30; la Salut;815,62;883,52;870,31;930,09
6;31; la Vila de GrÃ cia;899,65;913,34;923,39;927,06
6;32; el Camp d'en Grassot i GrÃ cia Nova;884,55;885,4;924,81;945,81
7;33; el Baix GuinardÃ_;832,63;817,38;839,47;827,04
7;34; Can BarÃ_;721,46;737,38;766,82;727,05
7;35; el GuinardÃ_;736,8;758,61;797,84;796,35
7;36; la Font d'en Fargues;824,12;756,72;876,58;840,52
7;37; el Carmel;634,75;637,17;654,77;653,21
7;38; la Teixonera;690,81;682,44;705,6;721,23
7;39; Sant GenÃ_s dels Agudells;648,1;646,83;660,93;666,91
7;40; Montbau;717,78;716,18;763,82;750,95
7;41; la Vall d'Hebron;874,2;864,72;822,31;876,65
7;42; la Clota;nd;nd;nd;-
7;43; Horta;748,19;742,51;754,53;745,35
8;44; Vilapicina i la Torre Llobeta;720,9;726,89;742,82;782,95
8;45; Porta;675,08;713,94;712,12;723,34
8;46; el TurÃ_ de la Peira;665,36;668,16;682,67;692,05
8;47; Can Peguera;nd;nd;nd;-
8;48; la Guineueta;685,05;724,25;732,86;708,41
8;49; Canyelles;714,68;661,88;715,45;774,38
8;50; les Roquetes;605,41;575,71;638,14;595,81
8;51; Verdun;624,71;628,8;618,91;649,22
8;52; la Prosperitat;634,3;657,43;667,72;698,08
8;53; la Trinitat Nova;592,73;574,15;584,73;575,38
8;54; Torre BarÃ_;nd;434,52;nd;-
8;55; Ciutat Meridiana;507,16;491,84;514,34;514,52
8;56; Vallbona;nd;nd;nd;-
9;57; la Trinitat Vella;589,02;598,29;597,93;564,56
9;58; BarÃ_ de Viver;nd;nd;nd;673,69
9;59; el Bon Pastor;658,63;687,55;693,69;696,06
9;60; Sant Andreu;744,82;752,66;777,06;782,15
9;61; la Sagrera;734,45;798,39;783,09;798,32
9;62; el CongrÃ©s i els Indians;754,09;751,16;787,78;804,74
9;63; Navas;790,2;797,8;823,74;840,01
10;64; el Camp de l'Arpa del Clot;785,88;806,97;827,45;851,58
10;65; el Clot;774,32;815,82;815,1;835,55
10;66; el Parc i la Llacuna del Poblenou;916,31;1198,77;897,67;938,59
10;67; la Vila OlÃ_mpica del Poblenou;1272,26;1288,91;1284,3;1292,23
10;68; el Poblenou;913,29;960,99;1006,81;970,64
10;69; Diagonal Mar i el Front MarÃ_tim del Poblenou;1164,84;1371,14;818,55;1307,79
10;70; el BesÃ_s i el Maresme;682,32;649,17;699,06;711,67
10;71; ProvenÃ§als del Poblenou;957,02;913,66;928,02;999,63
10;72; Sant MartÃ_ de ProvenÃ§als;751,48;797,54;803,49;823,46
10;73; la Verneda i la Pau;715,37;719,55;767,1;756,1
