PERIODO;CODIBARRIO;NOMBARRIO;NOMDISTR;INDICE
marzo-14;01; el Raval;Ciutat Vella;0.541
marzo-14;02; el Barri Gotic;Ciutat Vella;0.388
marzo-14;03; la Barceloneta;Ciutat Vella;0.541
marzo-14;04; Sant Pere, Santa Caterina i la Ribera;Ciutat Vella;0.452
marzo-14;05; el Fort Pienc;Eixample;0.448
marzo-14;06; la Sagrada Familia;Eixample;0.522
marzo-14;07; la Dreta de l'Eixample;Eixample;0.490
marzo-14;08; l'Antiga Esquerra de l'Eixample;Eixample;0.533
marzo-14;09; la Nova Esquerra de l'Eixample;Eixample;0.583
marzo-14;10; Sant Antoni;Eixample;0.480
marzo-14;11; el Poble Sec ;Sants;0.486
marzo-14;12; la Marina del Prat Vermell ;Sants;0.285
marzo-14;13; la Marina de Port;Sants;0.321
marzo-14;14; la Font de la Guatlla;Sants;0.371
marzo-14;15; Hostafrancs;Sants;0.394
marzo-14;16; la Bordeta;Sants;0.354
marzo-14;17; Sants - Badal;Sants;0.412
marzo-14;18; Sants;Sants;0.507
marzo-14;19; les Corts;Les Corts;0.490
marzo-14;20; la Maternitat i Sant Ramon;Les Corts;0.386
marzo-14;21; Pedralbes;Les Corts;0.405
marzo-14;22; Vallvidrera, el Tibidabo i les Planes;Sarria - Sant Gervasi;0.240
marzo-14;23; Sarria;Sarria - Sant Gervasi;0.469
marzo-14;24; les Tres Torres;Sarria - Sant Gervasi;0.463
marzo-14;25; Sant Gervasi - la Bonanova;Sarria - Sant Gervasi;0.404
marzo-14;26; Sant Gervasi - Galvany;Sarria - Sant Gervasi;0.523
marzo-14;27; el Putxet i el Farro;Sarria - Sant Gervasi;0.462
marzo-14;28; Vallcarca i els Penitents;Gracia;0.354
marzo-14;29; el Coll;Gracia;0.333
marzo-14;30; la Salut;Gracia;0.357
marzo-14;31; la Vila de Gracia;Gracia;0.663
marzo-14;32; el Camp d'en Grassot i Gracia Nova;Gracia;0.445
marzo-14;33; el Baix Guinardo;Horta-Guinardo;0.392
marzo-14;34; Can Baro;Horta-Guinardo;0.357
marzo-14;35; el Guinardo;Horta-Guinardo;0.420
marzo-14;36; la Font d'en Fargues;Horta-Guinardo;0.314
marzo-14;37; el Carmel;Horta-Guinardo;0.360
marzo-14;38; la Teixonera;Horta-Guinardo;0.307
marzo-14;39; Sant Genos dels Agudells;Horta-Guinardo;0.278
marzo-14;40; Montbau;Horta-Guinardo;0.310
marzo-14;41; la Vall d'Hebron;Horta-Guinardo;0.366
marzo-14;42; la Clota;Horta-Guinardo;0.484
marzo-14;43; Horta;Horta-Guinardo;0.349
marzo-14;44; Vilapicina i la Torre Llobeta;Nou Barris;0.363
marzo-14;45; Porta;Nou Barris;0.350
marzo-14;46; el Turo de la Peira;Nou Barris;0.271
marzo-14;47; Can Peguera;Nou Barris;0.459
marzo-14;48; la Guineueta;Nou Barris;0.302
marzo-14;49; Canyelles;Nou Barris;0.238
