Dte.;;Barris;;1er_trim;2do_trim;3er_trim;4to_trim
1;;1; el Raval;63.0;59.1;61.7;61.0
1;;2; el Barri Gòtic;82.1;77.3;77.5;80.7
1;;3; la Barceloneta;39.7;38.3;36.9;37.7
1;;4; Sant Pere, Santa Caterina i la Ribera;69.4;63.2;60.7;64.5
2;;5; el Fort Pienc;78.9;74.0;71.1;73.6
2;;6; la Sagrada Família;70.9;66.4;67.1;66.7
2;;7; la Dreta de l'Eixample;101.8;101.2;95.5;95.0
2;;8; l'Antiga Esquerra de l'Eixample;87.1;88.2;84.9;86.7
2;;9; la Nova Esquerra de l'Eixample;76.7;71.7;74.8;71.5
2;;10; Sant Antoni;76.9;72.7;74.9;73.6
3;;11; el Poble Sec - AEI Parc Montjuïc;59.5;56.9;58.5;59.2
3;;12; la Marina del Prat Vermell - AEI Zona Franca;91.5;56.4;62.7;60.9
3;;13; la Marina de Port;70.5;66.0;65.9;69.3
3;;14; la Font de la Guatlla;70.3;66.3;65.8;65.1
3;;15; Hostafrancs;63.3;59.3;60.6;60.7
3;;16; la Bordeta;73.9;67.2;64.4;67.1
3;;17; Sants - Badal;64.3;58.6;62.1;61.2
3;;18; Sants;62.9;60.8;66.5;63.1
4;;19; les Corts;81.4;74.6;74.4;77.4
4;;20; la Maternitat i Sant Ramon;74.2;72.0;71.6;68.9
4;;21; Pedralbes;108.4;129.1;130.7;109.6
5;;22; Vallvidrera, el Tibidabo i les Planes;95.3;63.8;66.1;84.9
5;;23; Sarrià;83.5;84.1;81.8;80.3
5;;24; les Tres Torres;108.2;105.6;100.3;104.3
5;;25; Sant Gervasi - la Bonanova;97.9;89.4;89.6;82.2
5;;26; Sant Gervasi - Galvany;102.5;98.2;104.7;96.2
5;;27; el Putxet i el Farró;72.2;69.5;71.9;70.3
6;;28; Vallcarca i els Penitents;77.2;66.2;64.6;67.5
6;;29; el Coll;63.8;58.5;58.5;55.9
6;;30; la Salut;71.2;60.0;71.8;68.4
6;;31; la Vila de Gràcia;66.4;64.1;64.6;65.3
6;;32; el Camp d'en Grassot i Gràcia Nova;69.0;67.3;69.2;64.7
7;;33; el Baix Guinardó;65.6;65.4;65.7;62.7
7;;34; Can Baró;64.2;58.7;58.3;55.2
7;;35; el Guinardó;64.0;61.8;63.6;62.4
7;;36; la Font d'en Fargues;77.0;69.3;66.1;61.5
7;;37; el Carmel;60.4;57.7;58.9;59.7
7;;38; la Teixonera;60.9;58.9;58.4;58.6
7;;39; Sant Genís dels Agudells;74.5;72.0;67.1;66.1
7;;40; Montbau;69.5;67.8;59.3;68.5
7;;41; la Vall d'Hebron;81.5;79.6;62.0;72.8
7;;42; la Clota;35.0;110.0;62.6;87.0
7;;43; Horta;67.6;63.0;61.3;65.3
8;;44; Vilapicina i la Torre Llobeta;65.9;66.8;62.1;67.2
8;;45; Porta;67.7;63.6;61.0;60.1
8;;46; el Turó de la Peira;68.9;61.3;60.6;61.4
8;;47; Can Peguera;36.7;n.d.;59.0;57.0
8;;48; la Guineueta;75.6;68.2;66.8;64.7
8;;49; Canyelles;79.7;80.7;77.3;81.4
8;;50; les Roquetes;59.7;54.4;56.9;54.1
8;;51; Verdun;56.1;55.6;50.9;51.8
8;;52; la Prosperitat;58.7;56.5;55.9;57.8
8;;53; la Trinitat Nova;57.3;50.4;54.5;51.6
8;;54; Torre Baró;85.0;59.1;80.0;71.6
8;;55; Ciutat Meridiana;61.7;60.3;59.7;60.9
8;;56; Vallbona;61.0;80.6;62.5;59.5
9;;57; la Trinitat Vella;57.1;57.6;55.9;59.4
9;;58; Baró de Viver;58.3;60.9;53.2;53.0
9;;59; el Bon Pastor;62.9;62.9;66.4;60.7
9;;60; Sant Andreu;67.2;63.9;64.0;66.2
9;;61; la Sagrera;72.1;65.6;67.0;68.3
9;;62; el Congrés i els Indians;69.2;65.1;66.5;70.3
9;;63; Navas;75.0;71.3;73.1;70.2
10;;64; el Camp de l'Arpa del Clot;66.3;62.3;63.9;62.2
10;;65; el Clot;69.3;64.0;68.3;67.8
10;;66; el Parc i la Llacuna del Poblenou;74.9;65.2;70.5;64.1
10;;67; la Vila Olímpica del Poblenou;95.1;83.1;86.0;88.2
10;;68; el Poblenou;68.8;63.0;66.6;64.0
10;;69; Diagonal Mar i el Front Marítim del Poblenou;78.1;158.3;131.6;86.0
10;;70; el Besòs i el Maresme;62.1;62.7;62.6;61.7
10;;71; Provençals del Poblenou;71.5;69.2;69.0;65.3
10;;72; Sant Martí de Provençals;72.5;76.7;74.3;71.8
10;;73; la Verneda i la Pau;72.9;65.3;68.2;69.4
