"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,71.98,71.63,72.37,72.53,71.98,71.80,71.99,72.13
1,"1. el Raval",61.95,62.87,64.14,63.84,61.95,62.41,62.96,63.18
1,"2. el Barri Gòtic",83.62,78.93,81.97,80.73,83.62,81.04,81.36,81.19
1,"3. la Barceloneta",57.58,60.18,58.83,58.46,57.58,58.91,58.89,58.80
1,"4. Sant Pere, Santa Caterina i la Ribera",69.96,70.32,70.52,73.88,69.96,70.14,70.25,71.22
2,"5. el Fort Pienc",76.76,76.03,75.63,76.05,76.76,76.40,76.13,76.11
2,"6. la Sagrada Família",68.20,69.38,69.05,69.27,68.20,68.76,68.85,68.96
2,"7. la Dreta de l'Eixample",98.61,102.04,94.11,100.35,98.61,100.29,98.22,98.77
2,"8. l'Antiga Esquerra de l'Eixample",84.52,81.48,84.22,86.87,84.52,83.05,83.45,84.38
2,"9. la Nova Esquerra de l'Eixample",73.75,73.55,73.66,75.09,73.75,73.64,73.65,74.02
2,"10. Sant Antoni",76.21,73.49,76.43,75.98,76.21,74.84,75.40,75.53
3,"11. el Poble Sec - AEI Parc Montjuïc",59.15,61.11,59.96,60.49,59.15,60.16,60.10,60.19
3,"12. la Marina del Prat Vermell - AEI Zona Franca","nd",99.00,"nd",70.00,"nd",99.00,99.00,89.33
3,"13. la Marina de Port",72.55,70.27,71.82,70.64,72.55,71.35,71.51,71.28
3,"14. la Font de la Guatlla",68.53,66.61,72.72,66.23,68.53,67.51,69.24,68.51
3,"15. Hostafrancs",60.29,62.17,63.77,61.76,60.29,61.37,62.13,62.03
3,"16. la Bordeta",66.42,68.35,68.39,67.19,66.42,67.36,67.72,67.58
3,"17. Sants - Badal",64.16,61.13,61.44,64.56,64.16,62.63,62.21,62.81
3,"18. Sants",65.27,66.80,66.89,65.86,65.27,66.03,66.31,66.20
4,"19. les Corts",71.04,75.12,74.71,73.93,71.04,73.18,73.76,73.80
4,"20. la Maternitat i Sant Ramon",70.51,74.38,75.34,76.01,70.51,72.60,73.74,74.34
4,"21. Pedralbes",123.99,99.07,120.84,107.10,123.99,116.46,118.31,115.75
5,"22. Vallvidrera, el Tibidabo i les Planes",77.81,74.75,85.14,69.60,77.81,75.98,79.13,77.25
