ID;CODIDISTR;NOMDISTR;CODIBARRIO;NOMBARRIO;1_2014;2_2014;3_2014;4_2014;1_2015;2_2015;3_2015;4_2015;1_2016;2_2016;3_2016;4_2016;1_2017;2_2017;3_2017;4_2017;1_2018;2_2018;3_2018;2014_8
1;1;Ciutat Vella;1; el Raval;3475;3923;3746;3930;2987;3932;3848;4439;4080;4166;3730;4493;5088;4989;5206;6101;5551;5501;5352;5452
2;1;Ciutat Vella;2; el Barri Gotic;1232;1541;1561;1455;1383;1895;1416;2080;2890;2419;2733;3426;3080;3281;3297;3573;3465;4220;3599;4389
3;1;Ciutat Vella;3; la Barceloneta;1784;2216;1887;2137;2270;3030;2783;3047;1765;1663;1561;1898;2114;2274;1870;2065;1198;1334;922;1142
4;1;Ciutat Vella;4; Sant Pere, Santa Caterina i la Ribera;1944;2594;2736;2377;2130;3058;2678;3566;5365;6113;6545;6561;7190;7538;6705;8560;5373;5683;4588;5973
5;2;Eixample;5; el Fort Pienc;1969;2394;2181;1889;1681;2081;2266;2326;2511;2492;2868;3116;3139;3647;3530;3994;4061;3929;4465;3473
6;2;Eixample;6; la Sagrada Familia;3045;3941;3726;3833;3266;3798;3789;4501;3468;3503;3940;4473;4346;5022;5706;5756;6137;5934;5662;6188
7;2;Eixample;7; la Dreta de l'Eixample;2816;3588;3335;3223;2690;3303;3701;5034;6341;5907;7119;7917;7183;7897;7752;9499;9503;9940;9480;11300
8;2;Eixample;8; l'Antiga Esquerra de l'Eixample;3377;3726;4363;4243;3316;3462;4319;4746;3080;3833;4833;4471;4074;5035;5923;5765;5898;5494;6761;6590
9;2;Eixample;9; la Nova Esquerra de l'Eixample;4170;4184;4820;4488;3796;4171;4855;5600;3781;4339;4936;5122;4956;5409;5733;7163;6056;7291;7593;7239
10;2;Eixample;10; Sant Antoni;2634;2446;2979;2732;2176;2637;2770;3567;2762;3097;3317;3371;2937;3859;4582;5060;4698;4651;5177;4566
11;3;Sants;11; el Poble Sec ;2604;2699;2709;2701;2344;2714;2686;2815;2412;2459;2697;2701;2481;2981;3165;3510;3681;4076;3850;4016
